County,Year,Total population,Male Total population,Female Total population,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,
"Hartford County, Connecticut",2011,890588,430282,460306,50764,57888,57888,62341,54326,55216,52545,56998,65013,71247,68575,58779,49873,35624,26718,24046,19593,22265,
"Litchfield County, Connecticut",2011,189719,93211,96508,9296,11383,12521,12521,8727,8348,8917,11763,14988,17075,17075,15557,11952,8917,6261,5502,4174,4743,
"Middlesex County, Connecticut",2011,165274,80779,84495,8264,10082,10247,10908,8925,8429,8594,10412,13387,14214,13883,12065,10908,7437,5619,4793,3305,3967,
"New Haven County, Connecticut",2011,858759,413358,445401,48949,50667,57537,62689,58396,54961,51526,55819,60972,66983,64407,54961,47232,33492,25763,21469,18893,23186,
"New London County, Connecticut",2011,272891,135889,137002,15009,15555,17738,18829,19102,16646,15555,17465,19921,22650,21831,18011,16101,11189,8733,6822,6004,5185,
"Tolland County, Connecticut",2011,151774,76423,75351,6982,8651,9410,14419,16240,7892,7589,8955,11080,12597,11990,10017,7892,5767,4250,3339,2277,2428,
"Windham County, Connecticut",2011,117971,58469,59502,6488,7196,7786,9320,8258,6960,6842,7668,8966,9792,9438,7668,6606,4129,3657,2477,2006,2595,
"Kent County, Delaware",2011,159936,77247,82689,11036,10716,11355,12155,12155,10396,9276,9916,10876,11835,10716,9116,8956,7037,5118,3998,2559,2559,
"New Castle County, Delaware",2011,536478,260004,276474,33262,34871,33798,40772,39699,37017,33798,36481,38090,41309,39699,33262,27897,19850,15021,11803,9657,9120,
"Sussex County, Delaware",2011,194442,94974,99468,11472,10694,10889,11083,10305,10500,9722,10111,12444,14000,14194,14000,15555,13028,10305,7389,4667,4472,
"District of Columbia, District of Columbia",2011,593955,280675,313280,33261,26134,26134,42171,58802,65929,53456,43953,38013,38607,36825,33855,29698,20788,14849,11879,9503,10097,
"Alachua County, Florida",2011,246203,119327,126876,12803,11572,11572,24128,43578,20681,15018,12803,12803,14280,15018,14772,11079,7878,6155,4678,3939,3447,
"Baker County, Florida",2011,26863,14056,12807,1934,1800,2176,2042,1827,1746,1719,1773,2015,2149,1746,1746,1397,994,725,349,510,215,
"Bay County, Florida",2011,167645,83220,84425,10562,9723,10394,11065,11400,11735,10226,10562,11568,13412,12406,10897,9556,7544,5868,4694,3185,2682,
"Bradford County, Florida",2011,28701,16235,12466,1693,1693,1320,1636,2066,2267,2267,2153,1779,2239,2153,1837,1492,1521,631,718,603,660,
"Brevard County, Florida",2011,542320,265665,276655,27116,29828,30912,34708,29285,28201,26031,29828,35251,45013,44470,37962,35251,30912,26574,21693,17354,13016,
"Broward County, Florida",2011,1742012,844686,897326,104521,102779,113231,114973,104521,113231,111489,121941,134135,142845,130651,109747,92327,69680,52260,43550,40066,41808,
"Calhoun County, Florida",2011,14530,7802,6728,901,886,785,799,988,988,1003,1075,930,1032,1119,944,843,639,610,538,247,232,
"Charlotte County, Florida",2011,160095,77872,82223,5603,6244,6724,7524,6244,5603,5443,6564,8165,10246,10886,12167,15049,14729,13448,10406,7364,7685,
"Citrus County, Florida",2011,141157,68550,72607,5505,5505,6917,7340,5364,5082,4658,6493,7199,9034,10022,10304,13410,12845,11151,9175,6070,5223,
"Clay County, Florida",2011,188890,92498,96392,11711,14167,14356,14922,10767,10578,10956,13222,14733,15489,13789,11900,10578,7933,4911,3778,2644,2267,
"Collier County, Florida",2011,320087,158614,161473,17605,16324,17925,17605,15684,16324,15684,17285,19525,20486,19845,19525,23366,24007,21126,16645,11843,9283,
"Columbia County, Florida",2011,67287,34589,32698,4172,4845,3633,4441,4979,4105,3970,3768,4441,4845,5248,4239,4239,3230,2557,2019,1413,1077,
"DeSoto County, Florida",2011,34669,19755,14914,2184,2080,2184,2739,2496,2323,2149,2149,2045,2323,1941,2080,1803,1976,1629,1213,693,624,
"Dixie County, Florida",2011,16317,8838,7479,897,1061,685,979,1061,702,1093,783,930,1256,1289,1175,1289,1191,751,522,326,310,
"Duval County, Florida",2011,860479,417117,443362,59373,55071,55931,58513,66257,68838,59373,59373,59373,65396,61954,53350,43024,30117,21512,18070,12907,12047,
"Escambia County, Florida",2011,297668,147156,150512,18753,16669,17562,23813,26195,20837,16967,16967,18158,21432,21730,18753,17562,12800,10121,8037,5953,5358,
"Flagler County, Florida",2011,94431,45539,48892,4816,5194,5383,5666,3966,4061,4722,4816,6327,5855,6421,6799,7932,7366,5666,3683,3211,2644,
"Franklin County, Florida",2011,11531,6639,4892,646,450,553,496,692,992,796,853,646,969,796,796,876,680,542,381,173,196,
"Gadsden County, Florida",2011,46205,22389,23816,3234,2957,3142,3188,2680,3050,2911,2819,3003,3281,3604,3327,2819,1848,1663,1109,878,647,
"Gilchrist County, Florida",2011,16843,8755,8088,893,893,1095,1381,1347,893,825,1213,775,1213,1263,1145,1061,977,623,539,404,286,
"Glades County, Florida",2011,12684,7218,5466,660,837,571,799,672,761,875,850,672,812,824,850,799,850,799,660,292,89,
"Carroll County, Illinois",2011,15878,9381,6497,667,715,826,889,953,1016,1080,1111,1238,1413,1191,1080,1080,953,619,349,397,318,
"Hamilton County, Florida",2011,14742,8744,5998,796,840,737,1106,1371,1061,943,914,1017,1135,1002,1091,855,678,413,398,103,295,
"Hardee County, Florida",2011,27690,14981,12709,2243,2132,1966,2215,1938,2132,1800,1772,1744,2021,1385,1440,1246,1246,858,858,332,305,
"Hendry County, Florida",2011,39084,21198,17886,3127,2814,3049,3088,3283,2814,2619,2658,2540,2658,2345,2189,1407,1368,1251,743,625,547,
"Hernando County, Florida",2011,172079,82226,89853,8432,9636,9636,9981,7744,7744,7744,9809,9981,11529,11701,11357,12906,12734,10153,9292,6367,5507,
"Highlands County, Florida",2011,98985,48373,50612,5048,4751,5147,5246,4553,4256,4058,4355,4850,5642,6038,5939,7424,8810,7325,6731,4652,3959,
"Hillsborough County, Florida",2011,1219331,595018,624313,80476,76818,84134,86573,90230,90230,82915,85353,90230,92669,82915,71941,60967,43896,32922,26825,19509,18290,
"Holmes County, Florida",2011,20003,10563,9440,1080,1200,1160,1240,1280,1340,1140,1180,1480,1400,1420,1160,1540,1280,760,580,420,380,
"Indian River County, Florida",2011,137004,66360,70644,6576,6576,7809,7672,6439,6302,6028,6713,7809,9179,9590,9590,9727,9316,8220,7946,5891,5617,
"Jackson County, Florida",2011,49537,27125,22412,2625,2675,2675,3121,3269,3170,3369,3666,3468,3765,3666,3616,2675,2427,1882,1337,1040,1090,
"Jefferson County, Florida",2011,14622,7602,7020,804,790,819,760,746,863,833,863,1155,1272,1111,1170,1067,892,453,497,307,205,
"Lafayette County, Florida",2011,8627,5041,3586,518,552,647,595,751,544,595,440,958,682,561,345,302,328,285,293,43,173,
"Lake County, Florida",2011,295594,143494,152100,16553,16849,17440,16849,13597,14484,14780,16849,18918,19805,19214,18327,21283,20692,18327,14780,9755,7685,
"Lee County, Florida",2011,615955,302910,313045,33878,32646,34493,35109,32646,34493,32646,34493,38189,40653,40037,41269,44349,43117,34493,26486,19711,17247,
"Leon County, Florida",2011,273352,130075,143277,15034,15308,13668,27609,45923,21868,16401,15034,15308,16401,16948,15581,13121,8474,5194,4374,3554,3554,
"Levy County, Florida",2011,40556,19929,20627,2312,2798,2068,2596,2028,2028,2068,2109,2555,3001,3204,3082,3123,2677,1947,1379,1054,527,
"Elliott County, Kentucky",2011,8291,5176,3115,423,398,390,597,788,497,680,647,696,655,572,680,431,332,207,158,108,41,
"Madison County, Florida",2011,19269,10090,9179,1195,983,1137,1291,1426,1291,1098,1156,1272,1387,1426,1426,1156,751,886,559,328,482,
"Manatee County, Florida",2011,321296,155485,165811,18314,16707,19599,17993,16065,16707,16065,17350,20242,21527,22169,21527,22812,20242,17671,14780,11888,9318,
"Marion County, Florida",2011,330100,158466,171634,17165,18156,17495,19146,16505,16505,15185,16835,19806,21787,22117,20796,25748,25088,20796,16505,12214,8913,
"Martin County, Florida",2011,145480,71854,73626,6256,6547,8001,7856,6547,6110,6110,7274,8729,10766,10911,10038,11056,10329,8729,8292,6256,5819,
"Miami-Dade County, Florida",2011,2474676,1198400,1276276,150955,146006,148481,168278,175702,170753,168278,180651,193025,193025,165803,143531,121259,98987,84139,66816,51968,47019,
"Monroe County, Florida",2011,73068,38988,34080,3215,2630,3215,3288,4165,4165,4384,5115,4896,6138,6868,6722,6211,4092,3215,2119,1461,1169,
"Nassau County, Florida",2011,72379,35603,36776,3908,4487,4560,4705,3908,3691,3619,4487,5356,5646,5790,5573,5139,3691,3402,1737,1592,1013,
"Okaloosa County, Florida",2011,181973,91424,90549,11828,11282,10554,12010,14194,14012,11100,11282,11464,14740,13648,11282,9827,7643,6187,5095,3094,2730,
"Okeechobee County, Florida",2011,39978,21371,18607,2639,2159,2878,3198,2559,2399,1919,2639,3158,2519,2599,2519,1839,2039,1959,1279,1039,600,
"Orange County, Florida",2011,1133087,558566,574521,74784,75917,72518,86115,103111,95179,82715,83848,82715,83848,74784,61187,48723,35126,24928,20396,14730,13597,
"Osceola County, Florida",2011,265328,130127,135201,18042,18042,20961,21226,17777,17777,17777,19369,20430,19900,17512,13797,13797,10082,7164,5307,3980,2653,
"Palm Beach County, Florida",2011,1309401,634124,675277,70708,73326,74636,79873,73326,73326,70708,79873,89039,95586,90349,82492,74636,69398,58923,56304,49757,48448,
"Pasco County, Florida",2011,461898,224547,237351,25866,26328,28638,27252,22171,23557,25866,29100,32795,33719,31409,29100,30947,26790,23095,18476,14319,12933,
"Pinellas County, Florida",2011,916806,440085,476721,42173,44007,46757,50424,47674,51341,47674,51341,63260,72428,74261,66010,65093,51341,41256,37589,30255,32088,
"Polk County, Florida",2011,598376,293596,304780,39493,40690,37698,40690,36501,36501,34706,35903,38296,40091,38894,36501,36501,32911,26329,20345,14959,11968,
"Putnam County, Florida",2011,74595,37102,37493,4699,4699,4550,5222,4401,3730,3655,3655,4699,5371,5520,5445,5072,4401,3506,2312,2089,1641,
"St. Johns County, Florida",2011,186077,90547,95530,10048,12281,12653,12839,9862,8746,8932,12281,13770,15444,14700,13956,11909,8932,6885,5024,4280,3535,
"St. Lucie County, Florida",2011,274693,134495,140198,16756,17031,17306,17580,14559,14833,15383,16756,18130,19503,18679,17031,17031,15658,13185,10438,8790,6318,
"Santa Rosa County, Florida",2011,150073,75496,74577,9004,9755,10805,10505,8854,9305,8854,10205,11706,12456,11406,9755,8404,6903,4952,3452,2251,1351,
"Sarasota County, Florida",2011,378404,180885,197519,14758,15515,18542,18542,15515,15515,15515,18542,20812,24975,26488,27245,30272,30651,26110,22326,20055,17407,
"Seminole County, Florida",2011,419641,203471,216170,23080,25598,29375,30634,30634,28536,26437,27696,32312,34411,31893,27277,22661,15107,11330,8812,6714,7134,
"Sumter County, Florida",2011,90251,47031,43220,2347,2347,2256,2527,2347,3069,3700,3430,3700,4332,4513,6498,11101,13899,10830,7130,4061,2166,
"Suwannee County, Florida",2011,41171,20567,20604,2594,2676,2511,2635,2470,2264,2223,1894,2635,3047,2923,3005,2676,2100,2100,1235,1276,947,
"Mahaska County, Iowa",2011,22382,12391,9991,1410,1231,1186,1231,1298,1567,1500,1388,1612,1634,1746,1589,1455,1074,1030,671,537,224,
"Union County, Florida",2011,15484,9845,5639,759,666,1006,1099,1022,1099,1146,929,1486,1239,1316,1332,914,681,325,201,170,93,
"Volusia County, Florida",2011,496089,242389,253700,24804,24804,27781,31254,31254,26293,24804,27781,30758,36711,37207,36711,33238,28277,24804,19844,16371,13890,
"Wakulla County, Florida",2011,30013,16262,13751,1831,1411,2401,1981,1621,1951,1981,2221,2371,2611,2431,2191,1741,1140,930,600,390,240,
"Hancock County, Maine",2011,54309,27740,26569,3204,3150,2933,3096,2824,3639,3259,3421,3259,4779,4399,4073,3693,2878,2335,1303,1195,869,
"Washington County, Florida",2011,24543,13156,11387,1350,1350,1644,1644,1301,1497,1718,1522,1865,2062,1718,1718,1473,1350,834,564,466,491,
"Clayton County, Iowa",2011,18202,9180,9022,1311,1456,1129,1347,928,1129,1165,965,1402,1420,1220,983,1347,892,546,455,237,255,
"Atkinson County, Georgia",2011,8375,4063,4312,754,653,678,787,444,561,544,586,611,578,477,461,427,343,226,42,84,117,
"Bacon County, Georgia",2011,11075,5401,5674,820,952,753,775,487,764,808,952,587,665,720,576,808,454,377,199,199,177,
"Baker County, Georgia",2011,3494,1521,1973,384,269,234,290,245,196,77,150,199,210,287,171,175,189,182,80,73,80,
"Baldwin County, Georgia",2011,46345,23452,22893,2827,2503,2456,3986,6396,2966,2549,2734,2827,3198,3198,3012,2271,1946,1251,1112,695,510,
"Banks County, Georgia",2011,18074,9187,8887,1175,1211,1500,1283,976,994,1139,1301,1356,1319,1356,1121,1121,813,560,325,271,253,
"Barrow County, Georgia",2011,68061,34068,33993,5581,5649,5037,4628,3879,5445,5173,4968,5445,4968,4220,3131,3471,2314,1497,1225,885,408,
"Bartow County, Georgia",2011,98905,48491,50414,7121,7616,7517,6923,6132,6231,6627,6824,8308,7715,7022,6033,4747,3956,2275,1978,1286,791,
"Ben Hill County, Georgia",2011,17658,8354,9304,1413,1377,1130,1342,1236,901,812,901,1536,1165,1254,1148,1007,865,494,494,283,300,
"Berrien County, Georgia",2011,18977,9323,9654,1347,1347,1290,1309,1215,1120,1120,1271,1385,1347,1309,1158,1139,873,664,493,285,304,
"Bibb County, Georgia",2011,155186,72759,82427,11329,11018,10863,12570,10397,10863,9622,9156,10087,10708,11018,9466,8535,5742,4500,4035,2949,2328,
"Bleckley County, Georgia",2011,13095,6303,6792,720,563,1152,1571,1021,367,655,668,995,995,1035,615,786,615,393,445,223,275,
"Brantley County, Georgia",2011,17937,8997,8940,1238,1040,1561,1399,1148,951,1022,1256,1256,1345,1363,1184,1058,700,646,377,305,126,
"Barbour County, West Virginia",2011,16256,7910,8346,1073,666,1496,1252,1122,732,845,1073,1057,1122,1219,943,1154,829,585,390,358,358,
"Bryan County, Georgia",2011,29847,14602,15245,2119,2597,2477,2358,1522,1791,1701,2179,2776,2388,2149,1612,1671,866,627,567,298,209,
"Bulloch County, Georgia",2011,69008,34350,34658,4002,3933,3726,8695,13319,4624,3657,3450,3864,3933,3588,3312,2622,1932,1656,1380,690,552,
"Burke County, Georgia",2011,23211,11121,12090,1810,1694,1973,1834,1625,1253,1184,1509,1462,1671,1671,1300,1486,882,720,603,255,232,
"Butts County, Georgia",2011,23568,12637,10931,1414,1226,1650,1768,1650,1579,1508,1626,1862,1909,1650,1768,1061,943,778,566,236,401,
"Calhoun County, Georgia",2011,6568,3744,2824,335,433,394,460,617,276,473,394,663,506,479,361,486,171,125,112,144,138,
"Camden County, Georgia",2011,49957,25452,24505,3897,3347,3947,3797,4996,4096,3047,3397,3297,3547,3347,2398,2398,1848,1049,899,450,250,
"Candler County, Georgia",2011,10891,5373,5518,773,653,839,784,980,555,599,675,751,555,751,697,719,479,425,207,229,207,
"Carroll County, Georgia",2011,110292,53874,56418,7831,7720,7941,9265,9595,7831,7169,7831,7279,7610,6948,6287,5294,3640,3419,2206,1213,1213,
"Catoosa County, Georgia",2011,63643,30850,32793,4010,4901,4200,4519,3500,3691,4073,4455,5028,4837,4328,3628,3882,2991,2100,1464,1146,891,
"Charlton County, Georgia",2011,12714,7489,5225,712,725,750,737,750,1055,890,1043,1119,1017,1093,648,534,547,432,292,229,153,
"Chatham County, Georgia",2011,261322,125915,135407,18293,16463,15157,18815,24826,22212,17770,16202,15941,17247,17509,15418,14111,10192,7056,6010,4442,4442,
"Chattahoochee County, Georgia",2011,11686,7292,4394,1017,865,760,1204,2244,1706,1052,830,421,421,280,280,164,245,93,70,12,12,
"Chattooga County, Georgia",2011,26001,13425,12576,1560,1690,1690,1482,1560,1612,1716,1872,2106,1898,1846,1768,1404,1144,910,780,546,390,
"Cherokee County, Georgia",2011,211316,104376,106940,16060,17328,15637,13947,11200,12890,15215,17328,17962,17117,14792,12256,10566,7396,4649,3592,2113,1479,
"Clarke County, Georgia",2011,116131,55207,60924,7084,5574,4761,15445,23691,11032,8129,6387,5342,4994,5226,4878,3948,3136,2090,1974,1277,1277,
"Clay County, Georgia",2011,3194,1513,1681,345,275,201,195,176,147,188,147,166,204,137,262,214,80,172,83,112,89,
"Clayton County, Georgia",2011,260756,124919,135837,22164,21382,20339,20600,19557,20600,20078,20600,20339,18514,16428,13038,9909,6780,3911,3129,1565,1565,
"Clinch County, Georgia",2011,6830,3224,3606,505,546,362,512,403,553,451,389,355,485,533,451,328,533,96,75,130,109,
"Cobb County, Georgia",2011,684468,333420,351048,49282,48597,47913,47228,44490,50651,51335,56126,54073,54757,48597,41068,30801,21219,13689,10267,7529,6160,
"Coffee County, Georgia",2011,42143,21282,20861,3119,3203,2908,3161,3161,2866,2739,3287,2739,2908,2908,2318,2149,1601,1222,716,590,506,
"Colquitt County, Georgia",2011,45079,22271,22808,3742,3246,3426,3381,3156,2930,2840,3065,3065,2930,2705,2615,2254,1848,1397,1127,766,631,
"Columbia County, Georgia",2011,121335,58948,62387,8129,8979,9949,9221,6673,7159,7401,8615,9585,9707,9100,7887,6309,4611,2669,2305,1577,1213,
"Cook County, Georgia",2011,17081,8234,8847,1315,1298,1247,1144,974,1264,991,1281,1127,1110,1093,922,1059,786,512,410,290,256,
"Coweta County, Georgia",2011,124695,61124,63571,9227,9976,9227,8479,6609,7856,8355,9477,10599,9726,8729,6983,6983,4489,3367,2120,1496,1122,
"Crawford County, Georgia",2011,12751,6637,6114,740,1237,599,701,816,638,740,791,1084,1173,944,982,727,574,510,204,153,140,
"Crisp County, Georgia",2011,23379,11357,12022,1753,1543,1777,1753,1426,1543,1192,1333,1496,1613,1683,1637,1356,935,842,818,304,351,
"Seward County, Nebraska",2011,16628,8193,8435,931,1048,931,1546,1330,915,931,964,1081,1214,1264,1230,898,948,466,499,249,200,
"Franklin County, Georgia",2011,22121,10933,11188,1305,1261,1659,1349,1416,1283,1195,1526,1482,1770,1615,1659,1615,1283,774,509,243,177,
"Decatur County, Georgia",2011,27890,13591,14299,1897,2036,1980,2120,1813,1813,1673,1785,1757,2008,1952,1897,1283,1116,1004,781,418,530,
"DeKalb County, Georgia",2011,690003,330643,359360,51060,45540,43470,45540,51060,60720,57270,57270,51060,49680,45540,38640,31740,20010,14490,10350,8280,8280,
"Dodge County, Georgia",2011,21597,11389,10208,1317,1274,1361,1793,1555,1361,1101,1404,1771,1685,1425,1382,1188,1015,713,497,475,281,
"Dooly County, Georgia",2011,14454,7839,6615,954,911,795,911,925,968,809,925,1200,1127,1041,1084,824,607,607,361,217,217,
"Dougherty County, Georgia",2011,94616,43720,50896,7191,6907,6434,7853,8326,6812,5772,5204,5866,5961,6150,5772,4825,3406,2649,2271,1608,1419,
"Douglas County, Georgia",2011,130473,62877,67596,9785,9785,10960,9916,7437,8481,9264,10568,11351,10307,8742,7306,5741,4045,2870,1696,1174,913,
"Early County, Georgia",2011,11110,5198,5912,755,922,722,833,722,500,611,689,678,744,789,567,800,611,400,311,244,222,
"Storey County, Nevada",2011,4016,1933,2083,337,197,378,390,273,675,289,281,209,325,137,124,100,64,100,80,36,20,
"Effingham County, Georgia",2011,51476,25326,26150,3706,3964,4427,4221,2831,3089,3294,3706,4221,4375,3809,2574,2677,1853,1132,669,566,412,
"Elbert County, Georgia",2011,20274,9727,10547,1216,1216,1419,1622,1257,993,1156,1237,1338,1460,1439,1379,1257,1054,730,730,426,385,
"Emanuel County, Georgia",2011,22439,11042,11397,1660,1257,1750,1638,1503,1526,1391,1301,1414,1660,1548,1346,1369,987,785,583,314,404,
"Evans County, Georgia",2011,11002,5326,5676,858,825,737,748,858,704,594,847,781,704,726,583,616,407,407,297,187,154,
"Fannin County, Georgia",2011,23529,11529,12000,1153,1224,1271,1129,1200,1035,1106,941,1765,1694,1953,2023,1976,1788,1176,1059,706,329,
"Fayette County, Georgia",2011,106094,51312,54782,4986,7320,9336,9336,4668,3607,4244,6366,8806,9973,9442,8063,6578,4350,3395,2334,1804,1379,
"Floyd County, Georgia",2011,95978,46536,49442,6527,6814,6047,7294,6527,6047,5663,6239,6718,6622,6527,5951,5375,3935,3359,2783,1536,1920,
"Forsyth County, Georgia",2011,170815,84822,85993,13665,17082,13494,10761,6491,7857,11274,15203,17765,14690,11103,8882,7516,5466,4100,2733,1708,1196,
"Franklin County, Georgia",2011,22102,10845,11257,1348,1415,1348,1591,1525,1149,1171,1613,1238,1481,1591,1437,1437,1127,972,751,442,420,
"Fulton County, Georgia",2011,907811,443056,464755,62639,61731,58100,62639,68994,79887,72625,74441,67178,67178,60823,50837,40851,27234,17248,13617,10894,11802,
"Gilmer County, Georgia",2011,28208,14283,13925,1692,1636,1834,1664,1354,1664,1523,1918,1721,2087,2031,2172,2031,1636,1523,677,677,367,
"Upton County, Texas",2011,3046,1490,1556,177,201,268,174,137,195,177,164,265,292,192,219,107,101,110,101,94,73,
"Glynn County, Georgia",2011,78736,38081,40655,5275,5197,5354,5197,4724,4803,4724,4567,5433,5748,5669,4882,5354,3464,3149,2283,1653,1181,
"Gordon County, Georgia",2011,54747,27088,27659,4161,4216,3942,3942,3394,3504,3613,4051,4106,4051,3449,3066,2956,1971,1807,1204,602,602,
"Grady County, Georgia",2011,24916,12036,12880,1894,1769,1794,1694,1620,1595,1221,1595,1844,1694,1744,1794,1271,1046,922,698,399,349,
"Greene County, Georgia",2011,15933,8032,7901,797,892,876,940,749,1052,813,924,781,956,1099,1354,1498,1259,860,542,287,255,
"Gwinnett County, Georgia",2011,794872,393072,401800,63590,65974,63590,58821,47692,55641,60410,67564,66769,64385,54051,40538,32590,19077,13513,9538,5564,5564,
"Habersham County, Georgia",2011,42744,20056,22688,2821,2949,2522,3078,2650,2693,2650,3035,2693,2864,2907,2693,2607,2137,1582,1282,940,641,
"Hall County, Georgia",2011,178286,89201,89085,14619,14441,13015,12658,11589,12837,12123,12302,13550,12658,11054,9806,8558,6418,4814,3387,2496,2139,
"Hancock County, Georgia",2011,9615,5219,4396,481,375,577,692,769,510,558,548,817,731,760,577,808,510,346,221,173,192,
"Haralson County, Georgia",2011,28681,13952,14729,1893,1836,2237,2065,1750,1635,1606,1950,2094,2151,1979,1836,1692,1319,918,545,602,516,
"Harris County, Georgia",2011,31401,15613,15788,1727,2072,2167,2481,1570,1256,1570,1978,2543,2732,2575,2292,2386,1444,1036,691,502,377,
"Hart County, Georgia",2011,25130,12276,12854,1608,1860,1131,1633,1332,1432,1307,1206,1960,1860,1784,1458,2161,1432,1131,754,452,603,
"Heard County, Georgia",2011,11758,5935,5823,717,694,999,917,647,670,600,776,905,941,917,764,694,658,270,294,188,106,
"Henry County, Georgia",2011,199115,95796,103319,13938,16527,17323,16128,10354,11549,13540,16925,17522,16527,13341,11150,8363,6173,3982,2987,1792,1195,
"Houston County, Georgia",2011,137887,67219,70668,10066,9790,10617,10479,9514,10204,9238,9376,9652,11169,9652,7860,6205,4688,3723,2758,1517,1517,
"Irwin County, Georgia",2011,9625,4837,4788,635,664,674,780,597,481,645,578,655,606,703,501,693,443,395,260,183,144,
"Jackson County, Georgia",2011,59798,29989,29809,4365,3947,4545,4305,3408,3707,4066,4186,4545,4724,4066,3588,3289,2691,1674,1136,718,777,
"Jasper County, Georgia",2011,13800,6849,6951,911,966,1007,925,856,856,787,1090,869,952,1049,1076,787,538,373,317,290,152,
"Jeff Davis County, Georgia",2011,14783,7413,7370,1242,1168,1079,1035,813,917,843,990,931,1035,1064,798,961,532,621,281,310,148,
"Jefferson County, Georgia",2011,16877,8082,8795,1165,1215,1266,1266,979,945,945,1080,1114,1165,1165,1114,1029,776,574,439,253,405,
"Monroe County, Arkansas",2011,8322,3737,4585,516,716,774,549,358,608,583,333,666,466,466,533,466,374,366,225,191,150,
"Johnson County, Georgia",2011,10034,5467,4567,552,572,662,582,612,662,662,682,783,783,843,743,492,421,331,231,291,120,
"Jones County, Georgia",2011,28488,13499,14989,1795,1766,2421,2194,1282,1709,1681,2023,2137,2336,2023,1880,1681,1424,684,684,342,370,
"Lamar County, Georgia",2011,18035,8730,9305,1100,1172,974,1822,1317,1154,848,1154,1190,1299,1244,1299,992,848,721,397,234,271,
"Lanier County, Georgia",2011,9779,4692,5087,1027,743,616,606,763,733,645,518,685,694,665,626,381,293,372,196,127,68,
"Laurens County, Georgia",2011,48163,22979,25184,3468,3805,3034,3468,2842,2938,2938,2938,3468,3371,3371,3034,2745,2167,1589,1108,963,963,
"Lee County, Georgia",2011,28251,14252,13999,1808,2317,2317,2317,1526,1667,1865,2740,1808,2175,2260,1836,1271,904,565,367,283,226,
"Liberty County, Georgia",2011,64320,31694,32626,6561,5146,4953,5081,7268,6175,4695,3988,3988,3988,3602,2830,2123,1737,900,643,257,386,
"Lincoln County, Georgia",2011,8045,3972,4073,426,442,475,692,418,290,322,402,660,619,652,579,692,475,314,177,233,169,
"Long County, Georgia",2011,13738,6582,7156,1195,1140,1181,1223,1085,975,824,962,1113,893,934,797,440,330,247,247,124,55,
"Lowndes County, Georgia",2011,107172,52315,54857,8038,7181,6966,9860,13504,8252,6752,6537,6645,6752,6323,5359,4716,3430,2679,1822,1500,965,
"Lumpkin County, Georgia",2011,29419,14645,14774,1647,1765,1589,2765,3148,1795,1706,1942,1647,2030,2118,2148,1500,1471,883,677,441,177,
"McDuffie County, Georgia",2011,21739,10175,11564,1609,1587,1522,1739,1109,1304,1196,1435,1348,1609,1565,1348,1435,957,783,543,435,217,
"McIntosh County, Georgia",2011,14065,6792,7273,619,647,1167,1294,844,309,717,802,858,1027,1266,1111,1055,802,774,366,295,113,
"Macon County, Georgia",2011,14560,7747,6813,786,801,1179,1165,1019,976,713,815,1165,1165,1136,1077,757,713,320,320,204,233,
"Madison County, Georgia",2011,27915,13730,14185,1787,1926,1954,2010,1452,1619,1759,1898,1814,2261,2205,1982,1479,1340,949,558,475,419,
"Marion County, Georgia",2011,8536,4433,4103,359,589,751,666,478,461,222,751,555,768,572,495,649,563,341,120,94,77,
"Meriwether County, Georgia",2011,22213,10519,11694,1444,1466,1466,1688,1155,1311,1222,1222,1444,1710,1644,1866,1155,1022,977,644,444,355,
"Audubon County, Iowa",2011,6140,3030,3110,411,454,368,375,375,295,325,454,344,485,332,436,319,282,350,196,178,160,
"Mitchell County, Georgia",2011,23677,12282,11395,1728,1728,1515,1492,1657,1634,1468,1681,1634,1728,1705,1444,1184,994,758,521,355,426,
"Cherokee County, North Carolina",2011,26203,13148,13055,1467,1494,1887,1860,1546,1546,1441,1677,1860,2122,2227,2096,1494,1179,891,760,445,236,
"Montgomery County, Georgia",2011,9121,4739,4382,520,474,648,812,839,666,511,502,638,666,611,538,538,447,310,155,137,100,
"Morgan County, Georgia",2011,17876,8626,9250,983,1198,1341,1090,930,965,1126,1180,1144,1448,1323,1269,1162,1019,554,429,340,375,
"Murray County, Georgia",2011,39800,19672,20128,2866,2985,3104,2826,2428,2667,2547,3025,3264,2985,2587,2269,1990,1632,995,756,478,318,
"Muscogee County, Georgia",2011,188548,90382,98166,13953,13387,12821,15649,15838,13387,12821,12256,11501,12821,12633,10747,8862,6222,5279,4337,3582,2640,
"Newton County, Georgia",2011,98864,47096,51768,7613,8305,7711,8008,5635,6228,6920,7415,8206,7019,6031,5635,4548,3361,2373,1681,1088,890,
"Oconee County, Georgia",2011,32246,15875,16371,1903,2451,2934,2709,1645,1193,1645,2354,2644,2676,2644,2289,1741,1193,871,580,419,387,
"Oglethorpe County, Georgia",2011,14686,7354,7332,778,822,1292,1160,676,808,852,720,1175,1263,1219,734,1204,676,617,367,191,132,
